Values-based working culture,Connected to HUGO BOSS,Informed about HUGO BOSS values,Values lived out across the organisation,Values lived out in the day-to-day business,Values positively influence the working atmosphere,Values have a positive influence on your motivation and engagement,Values support you at work,Importance of TRUST,TRUST reflected daily,Importance of ENTREPRENEURIAL SPIRIT,ENTREPRENEURIAL SPIRIT reflected daily,Importance of YOUTHFUL SPIRIT,YOUTHFUL SPIRIT reflected daily,Importance of SIMPLICITY & QUALITY,SIMPLICITY & QUALITY reflected daily,Importance of TEAM MENTALITY,TEAM MENTALITY reflected daily,Importance of PERSONAL OWNERSHIP,PERSONAL OWNERSHIP reflected daily,Please select the country you are based in - Country,Which occupational group are you a part of?,Are you currently in a leadership position?,How long have you been working at HUGO BOSS?,How old are you?,Functional Group
1,0,-1,No answer,No answer,No answer,No answer,No answer,0,-1,0,No answer,No answer,No answer,0,0,No answer,No answer,0,0,Canada,Blue Collar,No,> 10 years,≥ 59,Creative & Brand Functions
2,2,2,0,1,1,2,1,2,2,2,1,0,0,2,2,2,2,2,2,United Kingdom,White Collar,Yes,> 10 years,35 - 42,Creative & Brand Functions
2,1,2,2,1,1,1,2,2,1,2,1,2,1,2,1,2,0,2,1,Canada,Blue Collar,Yes,3-5 years,51 - 58,Logistics & Operations
1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,0,2,0,2,1,Germany,White Collar,No,> 10 years,51 - 58,IT & Technical Services
2,0,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,Poland,Blue Collar,No,< 1 year,≤ 26,Sales & Retail
1,No answer,2,-1,0,-1,1,-1,1,0,2,2,2,2,2,-2,2,1,2,-1,Turkey,White Collar,No,1-3 years,35 - 42,Corporate & Administrative
1,0,-1,No answer,0,0,0,0,0,0,0,0,No answer,No answer,0,0,0,0,No answer,No answer,Canada,Blue Collar,No,> 10 years,43 - 50,Creative & Brand Functions
2,2,1,-1,-1,0,1,1,No answer,-2,-2,-2,1,0,-2,-2,1,-2,2,-2,Germany,White Collar,No answer,No answer,No answer,Creative & Brand Functions
2,1,1,1,0,0,1,0,2,0,1,1,1,1,2,2,2,1,2,1,Turkey,Blue Collar,No,< 1 year,35 - 42,Logistics & Operations
2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,Other,No answer,No,1-3 years,27 - 34,Corporate & Administrative
2,1,1,0,0,0,0,2,0,0,1,1,1,1,1,0,1,2,1,1,Germany,White Collar,No,> 10 years,≥ 59,Logistics & Operations
2,1,1,1,1,1,1,0,2,2,1,2,1,1,2,2,2,1,1,1,Switzerland,White Collar,No,1-3 years,35 - 42,Creative & Brand Functions
0,0,-1,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,Netherlands,Blue Collar,No,> 10 years,≥ 59,Logistics & Operations
2,2,2,1,1,2,2,1,1,2,1,1,2,0,1,1,1,1,1,1,Poland,Blue Collar,No,< 1 year,27 - 34,Sales & Retail
2,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,2,2,1,1,Switzerland,Blue Collar,Yes,> 10 years,43 - 50,Logistics & Operations
2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,Greece,No answer,No,> 10 years,51 - 58,Corporate & Administrative
2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,-1,1,Switzerland,Blue Collar,No,5-10 years,27 - 34,Creative & Brand Functions
2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,Switzerland,White Collar,Yes,5-10 years,43 - 50,Creative & Brand Functions
1,1,1,0,0,0,0,0,1,1,0,-1,0,0,1,1,1,0,1,1,Germany,White Collar,No,No answer,No answer,IT & Technical Services
2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,Canada,Blue Collar,No,< 1 year,27 - 34,Corporate & Administrative
2,1,2,1,1,1,1,2,2,1,2,0,2,1,2,1,2,1,2,0,Italy,White Collar,Yes,5-10 years,43 - 50,Sales & Retail
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,United States,No answer,Yes,No answer,No answer,Sales & Retail
1,1,0,0,0,0,0,0,0,1,1,1,-2,-1,0,-1,1,1,1,1,Turkey,White Collar,No,1-3 years,27 - 34,Logistics & Operations
2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,Germany,White Collar,No answer,1-3 years,43 - 50,IT & Technical Services
2,0,2,1,0,2,1,2,2,2,1,1,0,0,2,0,2,1,2,1,Germany,White Collar,Yes,> 10 years,35 - 42,Creative & Brand Functions
1,2,2,1,1,1,0,1,2,2,-1,-1,1,1,-1,-1,2,2,1,1,Germany,White Collar,No,1-3 years,27 - 34,IT & Technical Services
2,2,1,0,0,1,2,-1,2,0,2,0,2,0,2,2,2,0,2,0,Turkey,Blue Collar,No,1-3 years,43 - 50,Logistics & Operations
2,2,2,-1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,Germany,White Collar,Yes,> 10 years,35 - 42,Sales & Retail
2,1,1,0,1,1,0,1,2,1,1,1,2,1,0,1,2,2,1,0,Finland,No answer,Yes,5-10 years,35 - 42,Creative & Brand Functions
1,0,1,0,0,0,1,-1,2,1,1,0,0,1,2,0,2,1,2,0,Brazil,White Collar,Yes,1-3 years,27 - 34,Logistics & Operations
2,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,Poland,No answer,Yes,< 1 year,35 - 42,No answer
2,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,Switzerland,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
2,1,0,0,1,1,2,1,1,2,1,1,0,0,1,0,1,1,2,0,United States,,No,> 10 years,43 - 50,Creative & Brand Functions
2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,1,Switzerland,White Collar,No,> 10 years,51 - 58,Creative & Brand Functions
1,0,-1,0,0,No answer,No answer,No answer,2,-1,2,-2,2,-2,2,0,2,-2,2,0,Turkey,No answer,No answer,5-10 years,27 - 34,Creative & Brand Functions
2,2,1,1,1,1,1,1,2,1,0,0,1,0,2,0,2,0,1,0,Germany,White Collar,Yes,> 10 years,51 - 58,Logistics & Operations
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,United States,No answer,No,< 1 year,27 - 34,Sales & Retail
2,1,1,0,0,0,2,1,2,1,2,0,1,1,2,-1,2,1,2,1,Germany,White Collar,No,> 10 years,43 - 50,Sales & Retail
1,1,1,0,1,0,0,1,2,0,2,1,1,2,1,0,2,1,2,0,Germany,White Collar,Yes,> 10 years,35 - 42,Sales & Retail
1,1,1,1,1,1,1,0,1,0,1,1,0,0,No answer,No answer,2,2,1,1,Turkey,Blue Collar,No,5-10 years,35 - 42,IT & Technical Services
1,-1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,Italy,No answer,No,No answer,35 - 42,No answer
2,2,2,0,0,1,1,1,2,1,2,0,2,0,2,0,2,0,2,-1,Mexico,White Collar,No answer,3-5 years,35 - 42,Sales & Retail
2,2,1,1,1,2,2,2,2,1,2,0,2,0,2,0,1,1,0,-1,Germany,White Collar,No answer,5-10 years,35 - 42,IT & Technical Services
1,0,1,1,1,0,0,1,2,0,0,0,-1,-1,1,0,1,0,1,0,Germany,No answer,No,5-10 years,51 - 58,IT & Technical Services
No answer,1,0,-1,1,No answer,0,0,2,1,2,1,1,1,2,0,2,1,2,1,Turkey,Blue Collar,No,> 10 years,43 - 50,Creative & Brand Functions
2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Turkey,Blue Collar,No,5-10 years,27 - 34,Logistics & Operations
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,United States,No answer,Yes,> 10 years,51 - 58,Corporate & Administrative
2,2,2,-2,-2,-1,0,-1,2,-1,2,2,2,2,2,1,2,1,2,1,Canada,White Collar,Yes,> 10 years,No answer,Creative & Brand Functions
2,1,1,1,0,0,1,0,2,1,2,0,2,1,1,0,2,1,2,0,Germany,No answer,No answer,1-3 years,27 - 34,Logistics & Operations
2,2,0,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,Turkey,Blue Collar,No,3-5 years,27 - 34,Logistics & Operations
1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Canada,White Collar,Yes,> 10 years,43 - 50,Logistics & Operations
2,1,1,1,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,0,-1,-1,Germany,No answer,No,5-10 years,43 - 50,Sales & Retail
1,0,0,0,0,0,No answer,1,2,0,No answer,No answer,0,0,0,0,0,0,0,0,Canada,Blue Collar,No,1-3 years,35 - 42,Creative & Brand Functions
2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,2,2,2,2,United Kingdom,No answer,Yes,< 1 year,27 - 34,Sales & Retail
2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,Switzerland,White Collar,Yes,> 10 years,35 - 42,Creative & Brand Functions
2,2,0,-2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Turkey,Blue Collar,No,5-10 years,27 - 34,Logistics & Operations
2,1,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Switzerland,White Collar,Yes,> 10 years,51 - 58,Creative & Brand Functions
2,1,2,1,0,0,2,1,1,1,2,2,2,2,2,2,2,2,2,2,Brazil,Blue Collar,No,< 1 year,35 - 42,Creative & Brand Functions
1,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,Canada,White Collar,Yes,,,No answer
2,0,2,1,1,1,0,1,2,1,2,1,2,1,2,0,2,1,2,0,United States,White Collar,Yes,< 1 year,43 - 50,Sales & Retail
1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,Turkey,White Collar,No,5-10 years,27 - 34,IT & Technical Services
2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,Turkey,White Collar,No answer,1-3 years,35 - 42,IT & Technical Services
1,0,0,0,0,0,0,-1,2,0,2,2,2,0,2,-1,2,2,1,1,Italy,Blue Collar,No,< 1 year,≤ 26,Corporate & Administrative
1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,2,-1,1,0,Germany,White Collar,No,> 10 years,No answer,Logistics & Operations
1,1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,Germany,White Collar,No,5-10 years,43 - 50,Logistics & Operations
1,1,1,1,1,1,2,-2,1,0,0,0,0,0,1,1,2,0,0,0,Germany,No answer,No,< 1 year,≥ 59,Logistics & Operations
2,2,1,-1,-1,0,1,0,2,0,2,0,2,0,2,0,2,2,2,2,Turkey,White Collar,No,1-3 years,27 - 34,Logistics & Operations
2,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,2,0,0,0,Germany,White Collar,No,> 10 years,51 - 58,Creative & Brand Functions
2,0,1,1,1,1,1,0,2,1,0,-1,1,1,1,0,-1,0,2,2,Germany,White Collar,No,1-3 years,35 - 42,Corporate & Administrative
2,2,1,0,1,1,2,2,0,1,0,-1,1,1,-1,0,1,1,0,0,Germany,White Collar,No,3-5 years,27 - 34,IT & Technical Services
2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,Switzerland,White Collar,Yes,> 10 years,51 - 58,IT & Technical Services
1,2,2,1,0,1,1,1,2,0,2,0,2,1,2,0,2,1,2,0,Germany,White Collar,No,1-3 years,≤ 26,Logistics & Operations
2,2,1,-1,-1,-2,1,2,2,-1,2,1,1,0,2,1,2,-2,2,1,Germany,White Collar,No,1-3 years,43 - 50,Creative & Brand Functions
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,-1,1,0,Germany,White Collar,No,5-10 years,27 - 34,Creative & Brand Functions
2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,2,0,0,Germany,White Collar,No,5-10 years,35 - 42,Logistics & Operations
1,0,1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,Germany,White Collar,No,3-5 years,27 - 34,Corporate & Administrative
2,-1,-1,-1,-1,-1,-1,0,2,-2,2,-1,1,0,2,-2,2,-1,2,-1,Greater China,White Collar,No,3-5 years,No answer,No answer
1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,1,-1,0,Turkey,White Collar,No,> 10 years,43 - 50,Logistics & Operations
1,1,1,0,0,0,1,0,1,1,0,0,0,-1,0,0,1,1,0,0,Germany,White Collar,No,1-3 years,≤ 26,Sales & Retail
2,1,-1,1,0,0,1,0,-1,-1,0,No answer,No answer,1,1,0,1,0,0,0,Germany,No answer,Yes,< 1 year,≤ 26,Corporate & Administrative
1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Italy,White Collar,No,< 1 year,≤ 26,Creative & Brand Functions
2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,Germany,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
0,1,2,2,2,2,0,0,1,2,1,2,2,-1,1,1,2,0,1,1,Switzerland,No answer,No answer,3-5 years,27 - 34,Creative & Brand Functions
1,1,2,1,0,1,1,1,2,1,1,0,1,1,1,1,2,1,1,1,Spain,White Collar,No,1-3 years,35 - 42,Corporate & Administrative
2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,Germany,White Collar,No,> 10 years,35 - 42,Creative & Brand Functions
2,1,2,-2,0,-1,1,2,2,-2,2,0,2,0,2,0,2,1,2,-2,Germany,No answer,No,5-10 years,43 - 50,Corporate & Administrative
1,1,1,0,1,0,0,-1,2,2,2,1,2,1,2,-1,2,2,2,1,Germany,White Collar,No,> 10 years,35 - 42,Sales & Retail
2,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,1,1,Switzerland,White Collar,,,,Creative & Brand Functions
2,1,2,1,1,2,2,1,1,1,0,0,0,0,1,1,2,1,1,0,Germany,White Collar,No,> 10 years,51 - 58,Logistics & Operations
1,2,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,Turkey,White Collar,Yes,> 10 years,43 - 50,Logistics & Operations
2,2,1,1,1,1,2,1,1,2,1,0,1,1,2,2,1,2,2,2,Turkey,Blue Collar,No,1-3 years,35 - 42,Logistics & Operations
2,0,2,-2,-1,-1,1,0,-1,-1,-1,-1,0,-1,2,1,1,-1,1,0,Germany,White Collar,No answer,No answer,No answer,Corporate & Administrative
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,Other,White Collar,No,1-3 years,27 - 34,Corporate & Administrative
1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,Italy,No answer,No,> 10 years,35 - 42,Corporate & Administrative
2,2,2,1,0,2,2,1,2,1,2,1,2,0,2,-1,2,-1,2,0,Germany,No answer,No,> 10 years,43 - 50,Corporate & Administrative
2,2,1,0,0,0,2,2,2,1,1,1,2,1,1,0,2,0,1,1,Germany,No answer,No,1-3 years,51 - 58,Creative & Brand Functions
1,1,0,-2,0,0,0,0,2,-1,1,-1,0,-1,1,-1,2,-2,2,-1,Germany,White Collar,Yes,5-10 years,35 - 42,Logistics & Operations
1,1,1,1,1,0,1,1,1,0,-1,-1,1,0,1,1,1,0,1,1,Italy,White Collar,No,> 10 years,≥ 59,Corporate & Administrative
2,2,1,No answer,1,1,1,1,2,-2,2,No answer,2,No answer,2,No answer,2,No answer,2,No answer,Germany,No answer,No answer,1-3 years,27 - 34,Sales & Retail
2,1,1,-2,-2,-1,-1,-2,2,-1,2,-1,1,-1,2,-1,2,-2,2,-2,Spain,No answer,No answer,3-5 years,43 - 50,No answer
2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,United Kingdom,White Collar,Yes,< 1 year,51 - 58,Logistics & Operations
1,0,1,0,1,0,0,0,1,2,1,1,1,0,2,0,1,1,2,1,Germany,White Collar,Yes,5-10 years,35 - 42,Creative & Brand Functions
2,-1,-1,-2,-1,-2,-2,-2,2,-2,-1,-1,-2,0,1,-2,2,0,1,-2,Switzerland,White Collar,Yes,> 10 years,43 - 50,Creative & Brand Functions
2,2,1,0,2,1,2,1,1,1,1,1,-1,0,2,1,1,1,2,0,Germany,No answer,No answer,> 10 years,No answer,IT & Technical Services
2,0,1,-1,-2,-1,-2,-1,2,-1,1,1,1,1,2,-1,2,1,1,1,Turkey,White Collar,No answer,> 10 years,35 - 42,Logistics & Operations
1,0,-1,0,-2,-1,1,0,1,-1,2,-2,2,-2,1,-1,2,-2,1,0,Germany,White Collar,No,< 1 year,≤ 26,Corporate & Administrative
0,0,1,0,0,0,0,0,1,0,-1,-1,-1,-1,0,0,1,0,0,0,No answer,White Collar,Yes,1-3 years,43 - 50,No answer
2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Brazil,White Collar,No,1-3 years,≤ 26,Corporate & Administrative
1,0,-1,-1,-1,No answer,-1,-2,2,1,0,0,0,0,2,2,1,1,0,0,United Kingdom,No answer,No,< 1 year,35 - 42,Creative & Brand Functions
2,0,0,0,0,0,1,1,2,1,2,0,1,1,2,1,2,1,1,1,Canada,No answer,No,< 1 year,35 - 42,Logistics & Operations
2,1,1,2,2,1,1,0,1,1,1,1,2,1,2,1,2,0,2,0,Germany,Blue Collar,No,1-3 years,51 - 58,Creative & Brand Functions
2,1,2,0,0,0,1,1,2,2,1,1,1,1,2,2,2,2,1,1,Germany,No answer,No answer,No answer,No answer,Creative & Brand Functions
2,2,1,1,0,-1,2,No answer,1,-1,1,-1,1,0,2,0,2,0,2,0,Poland,Blue Collar,No,1-3 years,27 - 34,Creative & Brand Functions
1,-1,0,-1,-1,-1,-1,0,1,1,0,0,1,1,0,0,1,1,0,0,Italy,White Collar,No,1-3 years,27 - 34,Corporate & Administrative
1,0,0,0,1,-1,0,-1,2,1,0,-1,1,0,1,1,1,0,1,-1,Turkey,White Collar,No,5-10 years,27 - 34,Corporate & Administrative
2,2,2,1,1,0,1,1,2,2,0,0,1,1,1,1,2,2,2,2,Turkey,White Collar,Yes,> 10 years,35 - 42,Logistics & Operations
1,1,1,1,0,0,0,-1,2,2,-1,0,1,1,1,0,1,1,1,1,Turkey,White Collar,Yes,> 10 years,27 - 34,Logistics & Operations
2,0,0,-2,0,0,0,-1,2,1,1,1,2,2,2,-1,2,1,2,-1,Turkey,White Collar,No,5-10 years,27 - 34,Logistics & Operations
1,0,1,0,0,1,0,0,2,2,0,0,1,1,2,2,2,2,2,0,Turkey,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,Germany,White Collar,No,1-3 years,27 - 34,Corporate & Administrative
2,1,1,-1,-1,0,0,0,2,-1,1,0,1,0,2,0,2,1,2,1,Turkey,No answer,No answer,No answer,No answer,No answer
1,1,0,0,0,0,1,1,2,1,1,1,2,2,1,1,2,0,0,0,Poland,No answer,No,1-3 years,≤ 26,Sales & Retail
2,1,2,0,1,0,0,0,2,2,2,0,1,2,2,0,1,0,2,0,Brazil,No answer,Yes,5-10 years,27 - 34,Corporate & Administrative
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,1,2,1,2,1,Turkey,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
2,2,2,0,2,1,2,2,2,0,2,0,1,No answer,2,2,0,0,0,0,Germany,No answer,No answer,3-5 years,No answer,Creative & Brand Functions
2,2,1,1,0,0,1,2,2,1,1,0,0,-1,1,1,1,-1,1,0,Switzerland,,No,3-5 years,27 - 34,Creative & Brand Functions
2,0,1,1,0,1,0,0,1,1,1,0,2,1,2,0,2,0,2,0,Austria,No answer,Yes,3-5 years,35 - 42,Creative & Brand Functions
2,2,0,1,2,0,1,1,2,2,2,1,2,2,2,2,2,2,0,0,Brazil,No answer,No,< 1 year,≤ 26,Corporate & Administrative
2,2,1,1,1,1,1,1,2,1,1,0,1,0,2,1,2,2,2,1,France,,Yes,3-5 years,35 - 42,Corporate & Administrative
2,1,1,1,1,0,1,2,2,2,1,1,0,0,1,2,2,1,2,-1,Portugal,No answer,Yes,< 1 year,35 - 42,Creative & Brand Functions
2,1,2,2,-1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,Switzerland,White Collar,No,5-10 years,43 - 50,Sales & Retail
2,1,2,1,1,1,1,0,2,2,0,0,2,1,1,2,2,2,2,2,Turkey,Blue Collar,No,< 1 year,43 - 50,IT & Technical Services
2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,Canada,No answer,No,< 1 year,27 - 34,Sales & Retail
2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,Turkey,White Collar,No,No answer,51 - 58,Creative & Brand Functions
2,1,1,1,1,1,1,2,2,0,1,1,1,1,2,1,2,2,1,2,Sweden,No answer,Yes,1-3 years,27 - 34,Creative & Brand Functions
1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Poland,,No,1-3 years,≤ 26,Creative & Brand Functions
2,2,2,2,0,0,2,2,1,1,2,No answer,1,0,2,0,2,-1,2,-1,Germany,,No,5-10 years,51 - 58,Creative & Brand Functions
2,2,-1,1,0,0,2,2,2,-2,2,0,2,1,2,-1,2,-1,2,1,Germany,No answer,No answer,< 1 year,≤ 26,Sales & Retail
2,2,1,1,1,2,1,1,2,1,1,0,1,0,2,1,2,1,2,2,Australia,White Collar,Yes,5-10 years,35 - 42,Sales & Retail
1,1,0,1,2,2,0,0,2,0,2,1,1,1,1,1,2,2,2,0,Italy,White Collar,Yes,> 10 years,43 - 50,Creative & Brand Functions
1,1,1,1,0,0,1,0,2,2,2,1,0,2,2,2,2,2,2,2,Poland,White Collar,No,< 1 year,43 - 50,Sales & Retail
2,1,1,1,1,1,2,1,1,1,0,No answer,0,No answer,1,1,1,-1,1,1,Denmark,No answer,No answer,5-10 years,43 - 50,Sales & Retail
1,0,1,0,-2,-2,-1,-1,-2,-2,-2,-2,0,0,-1,-1,0,0,-1,-1,Germany,White Collar,No,1-3 years,No answer,Corporate & Administrative
2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Turkey,Blue Collar,No,1-3 years,27 - 34,Logistics & Operations
2,-1,-1,-2,-2,-2,-2,-2,2,-2,1,-2,2,-2,1,-2,1,-2,1,-2,Turkey,No answer,No,3-5 years,27 - 34,Creative & Brand Functions
1,-1,0,-1,-1,1,1,1,2,0,2,0,1,-1,1,1,1,-1,2,0,Germany,Blue Collar,Yes,5-10 years,35 - 42,Corporate & Administrative
1,1,-1,0,1,-1,-1,-1,1,-1,-2,-2,-2,-2,1,-2,2,1,1,1,Germany,Blue Collar,No,> 10 years,51 - 58,IT & Technical Services
2,2,1,1,1,1,1,0,2,1,1,1,1,2,2,1,2,1,1,1,Switzerland,Blue Collar,Yes,5-10 years,27 - 34,Creative & Brand Functions
2,2,1,1,0,0,1,1,2,0,1,1,1,0,2,1,2,2,2,0,Germany,No answer,Yes,< 1 year,35 - 42,Logistics & Operations
2,2,0,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,United Kingdom,White Collar,Yes,< 1 year,35 - 42,Creative & Brand Functions
1,1,1,No answer,-1,-1,-1,-2,1,1,No answer,0,1,0,0,0,1,0,1,0,United Kingdom,No answer,No,3-5 years,≥ 59,Creative & Brand Functions
2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,0,France,White Collar,Yes,3-5 years,35 - 42,Creative & Brand Functions
1,2,1,0,0,1,1,1,2,2,2,-2,1,1,2,0,2,1,2,1,Australia,White Collar,Yes,> 10 years,43 - 50,Corporate & Administrative
2,2,1,1,1,1,1,1,2,0,1,0,1,1,2,-1,2,1,0,0,Germany,Blue Collar,No,< 1 year,27 - 34,Creative & Brand Functions
2,0,0,2,2,2,1,0,1,0,0,1,1,0,1,0,2,0,2,1,Austria,,No,< 1 year,43 - 50,Creative & Brand Functions
1,2,1,0,0,0,1,1,2,0,1,0,1,0,1,0,1,1,1,0,Germany,White Collar,No,> 10 years,35 - 42,Logistics & Operations
2,1,1,0,0,0,1,0,2,0,2,1,2,1,2,2,2,2,2,2,Germany,No answer,No,1-3 years,43 - 50,Creative & Brand Functions
1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,Germany,White Collar,No,< 1 year,27 - 34,Corporate & Administrative
2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2,1,Switzerland,White Collar,No,5-10 years,No answer,Creative & Brand Functions
1,0,0,0,1,1,0,0,2,1,1,0,1,1,2,0,2,2,2,1,Germany,No answer,No,< 1 year,27 - 34,Creative & Brand Functions
2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,Spain,No answer,No answer,No answer,No answer,Sales & Retail
1,1,0,0,-2,0,1,0,-2,-2,1,-1,0,0,-1,-2,-2,-2,1,0,Germany,No answer,No,5-10 years,27 - 34,Sales & Retail
2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,Germany,White Collar,Yes,1-3 years,No answer,No answer
1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,Poland,No answer,No,5-10 years,27 - 34,Creative & Brand Functions
2,2,1,-2,-2,1,1,1,2,-2,2,-2,1,-1,2,-1,2,-1,2,-1,Germany,White Collar,Yes,5-10 years,27 - 34,Sales & Retail
2,2,2,0,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,Germany,No answer,No,> 10 years,43 - 50,Corporate & Administrative
2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,Other,White Collar,Yes,> 10 years,51 - 58,Corporate & Administrative
2,-1,0,-1,1,-1,0,0,1,1,0,-1,-1,-1,0,-1,1,0,-1,-2,United Kingdom,No answer,No,< 1 year,27 - 34,Sales & Retail
2,2,1,2,2,2,1,1,2,2,1,1,1,0,1,1,1,1,1,1,Turkey,White Collar,Yes,> 10 years,43 - 50,Sales & Retail
1,-2,2,-1,1,1,1,1,2,2,2,1,0,0,2,1,2,1,2,1,Russia,White Collar,Yes,5-10 years,51 - 58,Corporate & Administrative
2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Italy,White Collar,No,> 10 years,,Creative & Brand Functions
1,2,1,0,1,1,0,0,2,1,2,0,0,0,2,1,2,2,1,1,Germany,White Collar,Yes,> 10 years,43 - 50,Logistics & Operations
2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,Germany,White Collar,No,< 1 year,51 - 58,Creative & Brand Functions
0,0,1,1,1,0,0,0,0,1,-1,-1,0,0,0,0,1,1,0,0,Germany,White Collar,No,5-10 years,27 - 34,No answer
2,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,Germany,White Collar,No,> 10 years,35 - 42,Logistics & Operations
2,-2,0,-2,-1,-2,-2,-2,-2,-1,-1,-2,0,-1,0,0,-1,-1,1,0,Turkey,White Collar,Yes,> 10 years,35 - 42,Logistics & Operations
2,1,1,-1,1,0,0,-1,2,1,2,0,1,1,2,-1,2,2,2,2,United Kingdom,White Collar,No,3-5 years,27 - 34,Sales & Retail
1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,Germany,White Collar,No,> 10 years,51 - 58,Creative & Brand Functions
1,1,0,0,0,1,1,0,0,0,0,0,-1,-1,1,0,0,-1,0,0,Germany,White Collar,No,5-10 years,35 - 42,Logistics & Operations
